N         AVERAGE        STD-DEVIATION       AV: COUNT / N

5401      10.619         1.77252334258       0.001966117385 
5402      10.583         1.76042920903       0.001959089226 
5403      10.669         1.75540280278       0.001974643716 
5404      10.682         1.66519548402       0.001976683937 
5405      10.77          1.62637634021       0.001992599444 
5406      10.763         1.72070654093       0.001990935997 
5407      10.775         1.66264097147       0.001992787127 
5408      10.71          1.73375315429       0.001980399408 
5409      10.708         1.73687535534       0.001979663523 
5410      10.719         1.6923471866        0.001981330868 
5411      10.79          1.57222771888       0.001994086120 
5412      10.748         1.74885562583       0.001985957132 
5413      10.672         1.69776794645       0.001971549972 
5414      10.712         1.61896757225       0.001978574067 
5415      10.848         1.59527301739       0.002003324099 
5416      10.691         1.80319688332       0.001973966026 
5417      10.696         1.65698038612       0.001974524644 
5418      10.744         1.6267956233        0.001983019564 
5419      10.681         1.67548172177       0.001971027864 
5420      10.826         1.64490850809       0.001997416974 
5421      10.831         1.59324794053       0.001997970854 
5422      10.715         1.68040917636       0.001976208041 
5423      10.702         1.69799764429       0.001973446431 
5424      10.617         1.80119710193       0.001957411504 
5425      10.692         1.74903859306       0.001970875576 
5426      10.737         1.72911277828       0.001978805750 
5427      10.755         1.68076619433       0.001981757877 
5428      10.652         1.77169297566       0.001962417096 
5429      10.78          1.70164626171       0.001985632713 
5430      10.67          1.77231487044       0.001965009208 
5431      10.804         1.64182337662       0.001989320567 
5432      10.742         1.68980353888       0.001977540500 
5433      10.731         1.74832462661       0.001975151849 
5434      10.812         1.6972495397        0.001989694516 
5435      10.662         1.82530983671       0.001961729530 
5436      10.667         1.702971227         0.001962288447 
5437      10.753         1.64377340288       0.001977745080 
5438      10.797         1.68990857741       0.001985472600 
5439      10.719         1.64196193622       0.001970766685 
5440      10.622         1.74674440031       0.001952573529 
5441      10.739         1.68073763568       0.001973718066 
5442      10.713         1.80627544965       0.001968577728 
5443      10.689         1.62612391902       0.001963806724 
5444      10.733         1.69165924465       0.001971528288 
5445      10.722         1.7154346388        0.001969146005 
5446      10.803         1.6601780025        0.001983657730 
5447      10.71          1.66189650701       0.001966219937 
5448      10.734         1.75078382446       0.001970264317 
5449      10.743         1.77227283453       0.001971554413 
5450      10.708         1.74606300001       0.001964770642 
5451      10.69          1.74180940404       0.001961108053 
5452      10.721         1.71789376854       0.001966434336 
5453      10.824         1.66223464048       0.001984962406 
5454      10.648         1.76411337504       0.001952328566 
5455      10.716         1.71211681844       0.001964436296 
5456      10.628         1.75773035475       0.001947947214 
5457      10.687         1.66283823627       0.001958402052 
5458      10.642         1.64129095532       0.001949798460 
5459      10.779         1.66377853093       0.001974537461 
5460      10.777         1.69978557471       0.001973809523 
5461      10.781         1.65379533196       0.001974180553 
5462      10.759         1.69732701622       0.001969791285 
5463      10.723         1.67698270713       0.001962840929 
5464      10.791         1.72491130207       0.001974926793 
5465      10.78          1.65879474318       0.001972552607 
5466      10.816         1.68764451233       0.001978777899 
5467      10.735         1.73342868327       0.001963599780 
5468      10.737         1.75437481742       0.001963606437 
5469      10.641         1.83905383282       0.001945693911 
5470      10.759         1.69909358188       0.001966910420 
5471      10.719         1.7657969872        0.001959239627 
5472      10.772         1.63034229535       0.001968567251 
5473      10.753         1.68106841027       0.001964735976 
5474      10.787         1.65155411658       0.001970588235 
5475      10.693         1.70960551005       0.001953059360 
5476      10.75          1.68270615379       0.001963111760 
5477      10.676         1.76380951352       0.001949242285 
5478      10.691         1.63508990578       0.001951624680 
5479      10.732         1.60753724685       0.001958751597 
5480      10.738         1.71212032287       0.001959489051 
5481      10.817         1.62773185752       0.001973544973 
5482      10.748         1.78395515639       0.001960598321 
5483      10.787         1.59613000724       0.001967353638 
5484      10.712         1.71844580945       0.001953318745 
5485      10.769         1.67679426287       0.001963354603 
5486      10.707         1.76441236677       0.001951695224 
5487      10.726         1.69142661679       0.001954802259 
5488      10.795         1.68017112224       0.001967018950 
5489      10.798         1.70973565208       0.001967207141 
5490      10.787         1.62407850795       0.001964845173 
5491      10.745         1.67450739025       0.001956838462 
5492      10.756         1.68001904751       0.001958485069 
5493      10.7           1.77707625047       0.001947933733 
5494      10.888         1.61166249569       0.001981798325 
5495      10.686         1.74338865432       0.001944676979 
5496      10.794         1.65032239275       0.001963973799 
5497      10.845         1.60217820482       0.001972894305 
5498      10.687         1.71027220056       0.001943797744 
5499      10.742         1.72552484769       0.001953446081 
5500      10.693         1.74205367311       0.001944181818 
5501      10.779         1.69179165384       0.001959461916 
5502      10.766         1.69152120885       0.001956743002 
5503      10.766         1.68559900332       0.001956387425 
5504      10.742         1.57589212829       0.001951671511 
5505      10.738         1.74452171096       0.001950590372 
5506      10.66          1.79510445379       0.001936069742 
